metro_fips,metro_name,year,group,high,low,missing,moderate,very_high,very_low,group_lbl,normed
10420,"Akron, OH",2012,total,13.6308205052898,32.4779885457436,0,14.1045695715189,7.93497762142214,31.8516437560256,All,Metro normed Opportunity Levels
10420,"Akron, OH",2012,white,15.3821149338762,36.8222955980223,0,16.8380352774119,9.27529041419309,21.6822637764966,White,Metro normed Opportunity Levels
10420,"Akron, OH",2012,hisp,10.4314720812183,35.0507614213198,0,9.41624365482233,5.96446700507614,39.1370558375635,Hispanic,Metro normed Opportunity Levels
10420,"Akron, OH",2012,black,6.34582445586331,14.4211889543385,0,4.56615281781343,1.11960563144922,73.5472281405356,Black,Metro normed Opportunity Levels
10420,"Akron, OH",2012,asian,22.3561643835616,17.8904109589041,0,7.61643835616438,14.027397260274,38.1095890410959,Asian/Pacific Islander,Metro normed Opportunity Levels
10420,"Akron, OH",2012,aian,0,24.7422680412371,0,9.27835051546392,0,65.979381443299,American Indian/Alaska Native,Metro normed Opportunity Levels
10420,"Akron, OH",2012,num_tracts,11.1764705882353,33.5294117647059,0,12.3529411764706,5.29411764705882,37.6470588235294,Percentage of census tracts (unweighted),Metro normed Opportunity Levels
10420,"Akron, OH",2013,total,13.9948928006637,33.6323334975242,0,13.7084229901745,8.73149612423198,29.9328545874057,All,Metro normed Opportunity Levels
10420,"Akron, OH",2013,white,15.5684280422171,38.4549521213392,0,16.4517369120011,10.2458586705808,19.2790242538617,White,Metro normed Opportunity Levels
10420,"Akron, OH",2013,hisp,12.6995824121837,35.6669123065586,0,9.16236796855809,7.32006877916974,35.1510685335298,Hispanic,Metro normed Opportunity Levels
10420,"Akron, OH",2013,black,6.84866723989682,13.5038693035254,0,3.70163370593293,1.84006878761823,74.1057609630267,Black,Metro normed Opportunity Levels
10420,"Akron, OH",2013,asian,26.2095730918499,11.3583441138422,0,10.7373868046572,15.8861578266494,35.8085381630013,Asian/Pacific Islander,Metro normed Opportunity Levels
10420,"Akron, OH",2013,aian,6.86274509803922,3.43137254901961,0,14.7058823529412,0,75,American Indian/Alaska Native,Metro normed Opportunity Levels
10420,"Akron, OH",2013,num_tracts,11.1764705882353,34.1176470588235,0,12.3529411764706,6.47058823529412,35.8823529411765,Percentage of census tracts (unweighted),Metro normed Opportunity Levels
10420,"Akron, OH",2014,total,11.9505368148547,29.9611022773565,0,19.8660919615754,8.83346255437139,29.388806391842,All,Metro normed Opportunity Levels
10420,"Akron, OH",2014,white,12.9420040783252,34.1003196765835,0,23.8893687500557,10.2768452640671,18.7914622309686,White,Metro normed Opportunity Levels
10420,"Akron, OH",2014,hisp,12.3568702290076,32.7528625954199,0,15.243320610687,7.15648854961832,32.4904580152672,Hispanic,Metro normed Opportunity Levels
